patient_id,patient_ssn,insurance_id,emergency_contact_phone,diagnosis_code,admission_date
P001,123-45-6789,INS-2024-001,555-123-4567,M79.1,2024-01-15
P002,987-65-4321,INS-2024-002,555-987-6543,E11.9,2024-01-16
P003,456-78-9012,INS-2024-003,555-456-7890,I10,2024-01-17
P004,321-54-9876,INS-2024-004,555-321-9876,J44.1,2024-01-18
P005,789-01-2345,INS-2024-005,555-789-0123,F32.9,2024-01-19
P006,654-32-1098,INS-2024-006,555-654-3210,K21.9,2024-01-20
P007,147-25-8369,INS-2024-007,555-147-2583,M25.50,2024-01-21
P008,852-96-3741,INS-2024-008,555-852-9637,N18.6,2024-01-22
P009,963-85-2741,INS-2024-009,555-963-8527,Z51.11,2024-01-23
P010,741-85-9630,INS-2024-010,555-741-8596,R50.9,2024-01-24
