utrnNo,institutionId,reversal,initialUtrnNo,cardNumber,expireDate,transactionDate,transactionType,transactionTypeDesc,terminalType,terminalTypeDesc,posDataCode,additionalAuthInfo,issNetworkId,issNetworkDesc,merchantName,merchantAddress,merchantCity,merchantState,merchantPostalCode,merchantCountryCode,merchantCountryName,balanceCurrencyCode,balanceCurrencyName,mcc,mccDesc,cardHolderPostalCode,transactionAmount,accountAmount,accountConversionRate,account1Balance1,account1Balance2,account1,accountAmount2,currencyName,account2ConversionRate,account2,settlementAmount,conversionRateBySettleCurrency,conversionDateBySettleCurrency,rrn,responseCode,responseCodeName,responseDesc,initialChannelId,cardAcceptorId,acqFeeAmount,issFeeAmount,acqInstCurrencyCode,acqInstCurrencyName,account1CurrencyCode,account1CurrencyName,account2CurrencyCode,account2CurrencyName,transactionCurrencyName,transactionCurrencyCode,issuingAuthId,completionStatus,completionDesc,acqInstDesc,acqInstId,issInst,issInstDesc,receiveId,terminalId
25900000,1004,0,25900000,548920****4296,202505,2025-09-11T02:41:27.971Z,774,POS Purchase,2,POS,M10101511346,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,The Garden Restaurant,Main Street 238,Newcastle,TWR,NE1 6FL,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,763,49.84,0,0,0,0,Pound sterling,0,0,0,20250911,20250911 000025900000,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,S78945,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25833671,,
25900001,1002,0,25900001,537241****5748,202710,2025-07-30T16:24:42.447Z,774,POS Purchase,2,POS,M10101511346,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Riverside Dining,Oxford Street 68,Newcastle,TWR,NE1 8IT,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,243,121.85,0,0,0,0,Pound sterling,0,0,0,20250730,20250730 000025900001,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,Q12567,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25854326,,
25900002,1004,0,25900002,537241****6121,202808,2025-10-22T10:31:56.679Z,774,POS Purchase,2,POS,M10101511346,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Diamond Casino Resort,Station Road 172,Glasgow,SCT,G1 7QQ,826,GBR,0,N/A,7995,CASINO,395,145,0,0,0,0,Pound sterling,0,0,0,20251022,20251022 000025900002,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,R74467,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25853777,,,
25900003,1005,0,25900003,542133****9994,202609,2025-09-23T11:03:25.355Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Diamond Casino Resort,Victoria Road 230,Manchester,MAN,M2 1LJ,826,GBR,0,N/A,7995,CASINO,865,407.3,0,0,0,0,Pound sterling,0,0,0,20250923,20250923 000025900003,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,S78945,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25854326,,,
25900004,1002,0,25900004,542133****3927,202901,2025-10-24T12:14:48.450Z,774,POS Purchase,2,POS,M10102334567,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Royal Casino,High Street 19,Leeds,YOR,LS1 6QL,826,GBR,0,N/A,7995,CASINO,454,278.46,0,0,0,0,Pound sterling,0,0,0,20251024,20251024 000025900004,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25890345,,,
25900005,1003,0,25900005,542133****3458,202905,2025-10-12T07:36:15.454Z,774,POS Purchase,2,POS,M10108755146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Golden Palace Casino,Station Road 40,Birmingham,WMD,B5 6BN,826,GBR,0,N/A,7995,CASINO,638,52.51,0,0,0,0,Pound sterling,0,0,0,20251012,20251012 000025900005,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25890234,,,
25900006,1001,0,25900006,542133****1244,202901,2025-09-18T13:14:17.885Z,774,POS Purchase,2,POS,M10101511346,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Burger Palace,High Street 46,Edinburgh,SCT,EH12 3LN,826,GBR,0,N/A,5814,FAST FOOD RES. (QUICK P S P),836,23.63,0,0,0,0,Pound sterling,0,0,0,20250918,20250918 000025900006,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,P89234,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25833671,,,
25900007,1005,0,25900007,548920****6107,202701,2025-10-25T08:20:42.705Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Audio Visual Store,Park Avenue 44,Birmingham,WMD,B5 9FP,826,GBR,0,N/A,5732,Radio,television and stereo,708,196.11,0,0,0,0,Pound sterling,0,0,0,20251025,20251025 000025900007,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25854326,,
25900008,1001,0,25900008,542133****3920,202809,2025-08-11T10:02:47.191Z,774,POS Purchase,2,POS,M10102334567,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Royal Casino,Park Avenue 58,Cardiff,WLS,CF10 8LR,826,GBR,0,N/A,7995,CASINO,222,294.18,0,0,0,0,Pound sterling,0,0,0,20250811,20250811 000025900008,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25890345,,,
25900009,1004,0,25900009,548920****6221,202906,2025-10-19T05:03:12.642Z,774,POS Purchase,2,POS,M10108823445,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,City Cabs,Oxford Street 196,Liverpool,MSY,L1 9JE,826,GBR,0,N/A,4121,Taxicabs/limousines,622,219.23,0,0,0,0,Pound sterling,0,0,0,20251019,20251019 000025900009,-1,0,Approve Transaction,20002796,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002796,25854326,,,
